ID                 CATEGORY               CPU_CORES  MEMORY
dl1.24xlarge       accelerated_computing  96         768.0 GiB
g4ad.16xlarge      accelerated_computing  64         256.0 GiB
g4ad.2xlarge       accelerated_computing  8          32.0 GiB
g4ad.4xlarge       accelerated_computing  16         64.0 GiB
g4ad.8xlarge       accelerated_computing  32         128.0 GiB
g4ad.xlarge        accelerated_computing  4          16.0 GiB
g4dn.12xlarge      accelerated_computing  48         192.0 GiB
g4dn.16xlarge      accelerated_computing  64         256.0 GiB
g4dn.2xlarge       accelerated_computing  8          32.0 GiB
g4dn.4xlarge       accelerated_computing  16         64.0 GiB
g4dn.8xlarge       accelerated_computing  32         128.0 GiB
g4dn.metal         accelerated_computing  96         384.0 GiB
g4dn.xlarge        accelerated_computing  4          16.0 GiB
g5.12xlarge        accelerated_computing  48         192.0 GiB
g5.16xlarge        accelerated_computing  64         256.0 GiB
g5.24xlarge        accelerated_computing  96         384.0 GiB
g5.2xlarge         accelerated_computing  8          32.0 GiB
g5.48xlarge        accelerated_computing  192        768.0 GiB
g5.4xlarge         accelerated_computing  16         64.0 GiB
g5.8xlarge         accelerated_computing  32         128.0 GiB
g5g.16xlarge       accelerated_computing  64         128.0 GiB
g5g.2xlarge        accelerated_computing  8          16.0 GiB
g5g.4xlarge        accelerated_computing  16         32.0 GiB
g5g.8xlarge        accelerated_computing  32         64.0 GiB
g5g.metal          accelerated_computing  64         128.0 GiB
g5g.xlarge         accelerated_computing  4          8.0 GiB
g5.xlarge          accelerated_computing  4          16.0 GiB
p3.16xlarge        accelerated_computing  64         488.0 GiB
p3.2xlarge         accelerated_computing  8          61.0 GiB
p3.8xlarge         accelerated_computing  32         244.0 GiB
p3dn.24xlarge      accelerated_computing  96         768.0 GiB
p4d.24xlarge       accelerated_computing  96         1.1 TiB
p4de.24xlarge      accelerated_computing  96         1.1 TiB
p5.48xlarge        accelerated_computing  192        2.0 TiB
t3.2xlarge         burstable              8          32.0 GiB
t3a.2xlarge        burstable              8          32.0 GiB
t3a.xlarge         burstable              4          16.0 GiB
t3.xlarge          burstable              4          16.0 GiB
t4g.2xlarge        burstable              8          32.0 GiB
t4g.xlarge         burstable              4          16.0 GiB
c5.12xlarge        compute_optimized      48         96.0 GiB
c5.18xlarge        compute_optimized      72         144.0 GiB
c5.24xlarge        compute_optimized      96         192.0 GiB
c5.2xlarge         compute_optimized      8          16.0 GiB
c5.4xlarge         compute_optimized      16         32.0 GiB
c5.9xlarge         compute_optimized      36         72.0 GiB
c5a.12xlarge       compute_optimized      48         96.0 GiB
c5a.16xlarge       compute_optimized      64         128.0 GiB
c5a.24xlarge       compute_optimized      96         192.0 GiB
c5a.2xlarge        compute_optimized      8          16.0 GiB
c5a.4xlarge        compute_optimized      16         32.0 GiB
c5a.8xlarge        compute_optimized      32         64.0 GiB
c5a.xlarge         compute_optimized      4          8.0 GiB
c5d.12xlarge       compute_optimized      48         96.0 GiB
c5d.18xlarge       compute_optimized      72         144.0 GiB
c5d.24xlarge       compute_optimized      96         192.0 GiB
c5d.2xlarge        compute_optimized      8          16.0 GiB
c5d.4xlarge        compute_optimized      16         32.0 GiB
c5d.9xlarge        compute_optimized      36         72.0 GiB
c5d.metal          compute_optimized      96         192.0 GiB
c5d.xlarge         compute_optimized      4          8.0 GiB
c5.metal           compute_optimized      96         192.0 GiB
c5n.metal          compute_optimized      72         192.0 GiB
c5.xlarge          compute_optimized      4          8.0 GiB
c6a.12xlarge       compute_optimized      48         96.0 GiB
c6a.16xlarge       compute_optimized      64         128.0 GiB
c6a.24xlarge       compute_optimized      96         192.0 GiB
c6a.2xlarge        compute_optimized      8          16.0 GiB
c6a.32xlarge       compute_optimized      128        256.0 GiB
c6a.48xlarge       compute_optimized      192        384.0 GiB
c6a.4xlarge        compute_optimized      16         32.0 GiB
c6a.8xlarge        compute_optimized      32         64.0 GiB
c6a.xlarge         compute_optimized      4          8.0 GiB
c6g.12xlarge       compute_optimized      48         96.0 GiB
c6g.16xlarge       compute_optimized      64         128.0 GiB
c6g.2xlarge        compute_optimized      8          16.0 GiB
c6g.4xlarge        compute_optimized      16         32.0 GiB
c6g.8xlarge        compute_optimized      32         64.0 GiB
c6gd.12xlarge      compute_optimized      48         96.0 GiB
c6gd.16xlarge      compute_optimized      64         128.0 GiB
c6gd.2xlarge       compute_optimized      8          16.0 GiB
c6gd.4xlarge       compute_optimized      16         32.0 GiB
c6gd.8xlarge       compute_optimized      32         64.0 GiB
c6gd.metal         compute_optimized      64         128.0 GiB
c6gd.xlarge        compute_optimized      4          8.0 GiB
c6g.metal          compute_optimized      64         128.0 GiB
c6gn.12xlarge      compute_optimized      48         96.0 GiB
c6gn.16xlarge      compute_optimized      64         128.0 GiB
c6gn.2xlarge       compute_optimized      8          16.0 GiB
c6gn.4xlarge       compute_optimized      16         32.0 GiB
c6gn.8xlarge       compute_optimized      32         64.0 GiB
c6gn.xlarge        compute_optimized      4          8.0 GiB
c6g.xlarge         compute_optimized      4          8.0 GiB
c6i.12xlarge       compute_optimized      48         96.0 GiB
c6i.16xlarge       compute_optimized      64         128.0 GiB
c6i.24xlarge       compute_optimized      96         192.0 GiB
c6i.2xlarge        compute_optimized      8          16.0 GiB
c6i.32xlarge       compute_optimized      128        256.0 GiB
c6i.4xlarge        compute_optimized      16         32.0 GiB
c6i.8xlarge        compute_optimized      32         64.0 GiB
c6id.12xlarge      compute_optimized      48         96.0 GiB
c6id.16xlarge      compute_optimized      64         128.0 GiB
c6id.24xlarge      compute_optimized      96         192.0 GiB
c6id.2xlarge       compute_optimized      8          16.0 GiB
c6id.32xlarge      compute_optimized      128        256.0 GiB
c6id.4xlarge       compute_optimized      16         32.0 GiB
c6id.8xlarge       compute_optimized      32         64.0 GiB
c6id.metal         compute_optimized      128        256.0 GiB
c6id.xlarge        compute_optimized      4          8.0 GiB
c6i.metal          compute_optimized      128        256.0 GiB
c6in.12xlarge      compute_optimized      48         96.0 GiB
c6in.16xlarge      compute_optimized      64         128.0 GiB
c6in.24xlarge      compute_optimized      96         192.0 GiB
c6in.2xlarge       compute_optimized      8          16.0 GiB
c6in.32xlarge      compute_optimized      128        256.0 GiB
c6in.4xlarge       compute_optimized      16         32.0 GiB
c6in.8xlarge       compute_optimized      32         64.0 GiB
c6in.xlarge        compute_optimized      4          8.0 GiB
c6i.xlarge         compute_optimized      4          8.0 GiB
c7a.12xlarge       compute_optimized      48         96.0 GiB
c7a.16xlarge       compute_optimized      64         128.0 GiB
c7a.24xlarge       compute_optimized      96         192.0 GiB
c7a.2xlarge        compute_optimized      8          16.0 GiB
c7a.32xlarge       compute_optimized      128        256.0 GiB
c7a.48xlarge       compute_optimized      192        384.0 GiB
c7a.4xlarge        compute_optimized      16         32.0 GiB
c7a.8xlarge        compute_optimized      32         64.0 GiB
c7a.metal-48xl     compute_optimized      192        384.0 GiB
c7a.xlarge         compute_optimized      4          8.0 GiB
