ID                 CATEGORY              CPU_CORES  MEMORY
a1.2xlarge         accelerated_computing 8          16
a1.4xlarge         accelerated_computing 16         32
a1.large           accelerated_computing 2          4
a1.medium          storage_optimized     1          2
a1.metal           storage_optimized     16         32
a1.xlarge          accelerated_computing 4          8
c1.medium          compute_optimized     2          1.69921875
c1.xlarge          accelerated_computing 8          7
c3.2xlarge         accelerated_computing 8          15
c3.4xlarge         accelerated_computing 16         30
c3.8xlarge         accelerated_computing 32         60
c3.large           accelerated_computing 2          3.75
c3.xlarge          accelerated_computing 4          7.5
c4.2xlarge         accelerated_computing 8          15
c4.4xlarge         accelerated_computing 16         30
c4.8xlarge         accelerated_computing 36         60
c4.large           accelerated_computing 2          3.75
c4.xlarge          accelerated_computing 4          7.5
c5.12xlarge        accelerated_computing 48         96
c5.18xlarge        accelerated_computing 72         144
c5.24xlarge        accelerated_computing 96         192
c5.2xlarge         accelerated_computing 8          16
c5.4xlarge         accelerated_computing 16         32
c5.9xlarge         accelerated_computing 36         72
c5.large           accelerated_computing 2          4
c5.metal           compute_optimized     96         192
c5.xlarge          accelerated_computing 4          8
c5a.12xlarge       accelerated_computing 48         96
c5a.16xlarge       accelerated_computing 64         128
c5a.24xlarge       accelerated_computing 96         192
c5a.2xlarge        accelerated_computing 8          16
c5a.4xlarge        accelerated_computing 16         32
c5a.8xlarge        accelerated_computing 32         64
c5a.large          accelerated_computing 2          4
c5a.xlarge         accelerated_computing 4          8
c5ad.12xlarge      accelerated_computing 48         96
c5ad.16xlarge      accelerated_computing 64         128
c5ad.24xlarge      accelerated_computing 96         192
c5ad.2xlarge       accelerated_computing 8          16
c5ad.4xlarge       accelerated_computing 16         32
c5ad.8xlarge       accelerated_computing 32         64
c5ad.large         accelerated_computing 2          4
c5ad.xlarge        accelerated_computing 4          8
c5d.12xlarge       accelerated_computing 48         96
c5d.18xlarge       accelerated_computing 72         144
c5d.24xlarge       accelerated_computing 96         192
c5d.2xlarge        accelerated_computing 8          16
c5d.4xlarge        accelerated_computing 16         32
c5d.9xlarge        accelerated_computing 36         72
c5d.large          accelerated_computing 2          4
c5d.metal          compute_optimized     96         192
c5d.xlarge         accelerated_computing 4          8
c5n.18xlarge       accelerated_computing 72         192
c5n.2xlarge        accelerated_computing 8          21
c5n.4xlarge        accelerated_computing 16         42
c5n.9xlarge        accelerated_computing 36         96
c5n.large          accelerated_computing 2          5.25
c5n.metal          compute_optimized     72         192
c5n.xlarge         accelerated_computing 4          10.5
c6a.12xlarge       accelerated_computing 48         96
c6a.16xlarge       accelerated_computing 64         128
c6a.24xlarge       accelerated_computing 96         192
c6a.2xlarge        accelerated_computing 8          16
c6a.32xlarge       accelerated_computing 128        256
c6a.48xlarge       accelerated_computing 192        384
c6a.4xlarge        accelerated_computing 16         32
c6a.8xlarge        accelerated_computing 32         64
c6a.large          accelerated_computing 2          4
c6a.metal          compute_optimized     192        384
c6a.xlarge         accelerated_computing 4          8
c6g.12xlarge       accelerated_computing 48         96
c6g.16xlarge       accelerated_computing 64         128
c6g.2xlarge        accelerated_computing 8          16
c6g.4xlarge        accelerated_computing 16         32
c6g.8xlarge        accelerated_computing 32         64
c6g.large          accelerated_computing 2          4
c6g.medium         accelerated_computing 1          2
c6g.metal          accelerated_computing 64         128
c6g.xlarge         accelerated_computing 4          8
c6gd.12xlarge      accelerated_computing 48         96
c6gd.16xlarge      accelerated_computing 64         128
c6gd.2xlarge       accelerated_computing 8          16
c6gd.4xlarge       accelerated_computing 16         32
c6gd.8xlarge       accelerated_computing 32         64
c6gd.large         accelerated_computing 2          4
c6gd.medium        accelerated_computing 1          2
c6gd.metal         accelerated_computing 64         128
c6gd.xlarge        accelerated_computing 4          8
c6gn.12xlarge      accelerated_computing 48         96
c6gn.16xlarge      accelerated_computing 64         128
c6gn.2xlarge       accelerated_computing 8          16
c6gn.4xlarge       accelerated_computing 16         32
c6gn.8xlarge       accelerated_computing 32         64
c6gn.large         accelerated_computing 2          4
c6gn.medium        accelerated_computing 1          2
c6gn.xlarge        accelerated_computing 4          8
c6i.12xlarge       accelerated_computing 48         96
c6i.16xlarge       accelerated_computing 64         128
c6i.24xlarge       accelerated_computing 96         192
c6i.2xlarge        accelerated_computing 8          16
c6i.32xlarge       accelerated_computing 128        256
c6i.4xlarge        accelerated_computing 16         32
c6i.8xlarge        accelerated_computing 32         64
c6i.large          accelerated_computing 2          4
c6i.metal          compute_optimized     128        256
c6i.xlarge         accelerated_computing 4          8
c6id.12xlarge      accelerated_computing 48         96
c6id.16xlarge      accelerated_computing 64         128
c6id.24xlarge      accelerated_computing 96         192
c6id.2xlarge       accelerated_computing 8          16
c6id.32xlarge      accelerated_computing 128        256
c6id.4xlarge       accelerated_computing 16         32
c6id.8xlarge       accelerated_computing 32         64
c6id.large         accelerated_computing 2          4
c6id.metal         compute_optimized     128        256
c6id.xlarge        accelerated_computing 4          8
c6in.12xlarge      accelerated_computing 48         96
c6in.16xlarge      accelerated_computing 64         128
c6in.24xlarge      accelerated_computing 96         192
c6in.2xlarge       accelerated_computing 8          16
c6in.32xlarge      accelerated_computing 128        256
c6in.4xlarge       accelerated_computing 16         32
c6in.8xlarge       accelerated_computing 32         64
c6in.large         accelerated_computing 2          4
c6in.metal         compute_optimized     128        256
c6in.xlarge        accelerated_computing 4          8
c7a.12xlarge       accelerated_computing 48         96
c7a.16xlarge       accelerated_computing 64         128
c7a.24xlarge       accelerated_computing 96         192
c7a.2xlarge        accelerated_computing 8          16
c7a.32xlarge       accelerated_computing 128        256
c7a.48xlarge       accelerated_computing 192        384
c7a.4xlarge        accelerated_computing 16         32
c7a.8xlarge        accelerated_computing 32         64
c7a.large          accelerated_computing 2          4
c7a.medium         compute_optimized     1          2
c7a.metal-48xl     compute_optimized     192        384
c7a.xlarge         accelerated_computing 4          8
c7g.12xlarge       accelerated_computing 48         96
c7g.16xlarge       accelerated_computing 64         128
c7g.2xlarge        accelerated_computing 8          16
c7g.4xlarge        accelerated_computing 16         32
c7g.8xlarge        accelerated_computing 32         64
c7g.large          accelerated_computing 2          4
c7g.medium         accelerated_computing 1          2
c7g.metal          accelerated_computing 64         128
c7g.xlarge         accelerated_computing 4          8
c7gd.12xlarge      accelerated_computing 48         96
c7gd.16xlarge      accelerated_computing 64         128
c7gd.2xlarge       accelerated_computing 8          16
c7gd.4xlarge       accelerated_computing 16         32
c7gd.8xlarge       accelerated_computing 32         64
c7gd.large         accelerated_computing 2          4
c7gd.medium        accelerated_computing 1          2
c7gd.metal         accelerated_computing 64         128
c7gd.xlarge        accelerated_computing 4          8
c7gn.12xlarge      accelerated_computing 48         96
c7gn.16xlarge      accelerated_computing 64         128
c7gn.2xlarge       accelerated_computing 8          16
c7gn.4xlarge       accelerated_computing 16         32
c7gn.8xlarge       accelerated_computing 32         64
c7gn.large         accelerated_computing 2          4
c7gn.medium        accelerated_computing 1          2
c7gn.metal         accelerated_computing 64         128
c7gn.xlarge        accelerated_computing 4          8
